Dışa Aktarım Tarihi:,16.06.2026 19:31:42
Toplam Kayıt Sayısı:,24155

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,01.06.2026,"67,417507",82002747.00,1598,"5528420735,54"
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,01.06.2026,"13,837829",9918049.00,1089,"137244264,83"
DSV,DENİZ PORTFÖY 2028 SERBEST (DÖVİZ) FON,01.06.2026,"46,212506",152285856.00,44,"7037511029,95"
DTH,EMAA BLUE PORTFÖY DÖNÜŞÜM TEKNOLOJİLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"1,377696",171106089.00,302,"235732257,10"
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"4,208181",41359223.00,3748,"174047082,67"
DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,01.06.2026,"1,353059",46954234.00,3113,"63531829,50"
DTO,DENİZ PORTFÖY KAR PAYI ÖDEYEN ONDÖRDÜNCÜ SERBEST (DÖVİZ) FON,01.06.2026,"45,674158",2488055.00,139,"113639817,13"
DTP,AZİMUT PORTFÖY ADATEPE SERBEST ÖZEL FON,01.06.2026,"1,907298",905970033.00,4,"1727955095,82"
DTV,DENİZ PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"64,487955",60375603.00,4,"3893499152,45"
DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,01.06.2026,"5,080021",63157664.00,6999,"320842276,46"
DUC,DENİZ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"0,602394",346361.00,12,"208645,64"
DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,01.06.2026,"48,618337",5997464.00,233,"291586725,52"
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"1,091202",4881230.00,109,"5326408,44"
DUT,DENİZ PORTFÖY KAR PAYI ÖDEYEN DÖRDÜNCÜ SERBEST (DÖVİZ) FON,01.06.2026,"45,965531",18469057.00,250,"848940019,28"
DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,01.06.2026,"1,195142",54648277.00,198,"65312438,52"
DVC,DENİZ PORTFÖY LİYA SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"64,457844",825000.00,1,"53177721,58"
DVI,DENİZ PORTFÖY OLBA SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"73,074829",2522899.00,2,"184360413,83"
DVN,DENİZ PORTFÖY G2B SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"61,448644",4789538.00,1,"294310615,14"
DVO,DENİZ PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON,01.06.2026,"4,883834",6407587.00,1,"31293588,33"
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,01.06.2026,"1,439909",221702155.00,327,"319230877,33"
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,01.06.2026,"9,475351",93384419.00,11200,"884850109,86"
DVU,AZİMUT PORTFÖY 17.0 SERBEST ÖZEL FON,01.06.2026,"7,902738",177124605.00,5,"1399769336,40"
DVZ,DENİZ PORTFÖY EFES SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"62,347172",21011556.00,1,"1310011090,03"
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"1,817161",28761921.00,1168,"52265043,42"
DYJ,DENİZ PORTFÖY KAR PAYI ÖDEYEN ÜÇÜNCÜ SERBEST (DÖVİZ) FON,01.06.2026,"45,640147",23490997.00,154,"1072132554,09"
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,01.06.2026,"4,709167",17154086.00,1753,"80781449,74"
DYS,DENİZ PORTFÖY SAM YELİ SERBEST FON,01.06.2026,"1,534301",11610791.00,13,"17814449,37"
DZ2,DENİZ PORTFÖY İKİNCİ SERBEST ÖZEL FON,01.06.2026,"1,385749",8895219169.00,2,"12326541989,00"
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),01.06.2026,"0,963247",244412500.00,3005,"235429504,11"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,01.06.2026,"80,54974",234986718.00,4664,"18928119122,39"
DZP,AZİMUT PORTFÖY DENİZ SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"57,044079",7788000.00,2,"444259290,18"
DZS,AK PORTFÖY DOKUZUNCU SERBEST FON,01.06.2026,"1,445917",42028730.00,153,"60770074,83"
