Dışa Aktarım Tarihi:,20.06.2026 11:19:42
Toplam Kayıt Sayısı:,6058

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,17.06.2026,"3,30605",823459392.00,4676,"2722397699,30"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,17.06.2026,"12,141008",1756945.00,176,"21331083,99"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),17.06.2026,"62,799215",4018988.00,2177,"252389292,83"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,17.06.2026,"82,73474",133992443.00,183,"11085829892,32"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),17.06.2026,"0,891464",1337341991.00,3,"1192191703,94"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,17.06.2026,"0,098393",580059894.00,36,"57073825,91"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,17.06.2026,"3,015794",102568421.00,174,"309325185,40"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,17.06.2026,"3,106594",2478714059.00,44,"7700359198,66"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,17.06.2026,"63,982741",2090562.00,14,"133759886,06"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,17.06.2026,"3,720616",422717467.00,3627,"1572769281,85"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),17.06.2026,"3,532805",6028810.00,157,"21298609,46"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,17.06.2026,"55,225918",1302548.00,95,"71934409,40"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),17.06.2026,"5,26473",735626916.00,45,"3872877380,70"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),17.06.2026,"168,913855",15847488.00,97,"2676860289,70"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),17.06.2026,"46,502694",4151317.00,1418,"193047425,10"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,17.06.2026,"5,871561",56678702.97,1485,"332792442,89"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,17.06.2026,"12,084611",51336945.00,16,"620387029,90"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,17.06.2026,"54,526932",25302574.00,148,"1379671743,12"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,17.06.2026,"0,857501",1008114566.00,26228,"864459103,73"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),17.06.2026,"1,40333",3122491149.00,21692,"4381884669,58"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,17.06.2026,"110,109015",631631.28,1462,"69548298,33"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,17.06.2026,"0,15808",7949039005.00,34610,"1256586902,80"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),17.06.2026,"2,038364",5412147.00,418,"11031923,59"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,17.06.2026,"1,199618",4277712932.00,45581,"5131621837,69"
AFO,AK PORTFÖY ALTIN FONU,17.06.2026,"1,290931",15924732542.00,84310,"20557726733,36"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,17.06.2026,"0,306351",2457487325.00,26966,"752853648,59"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,17.06.2026,"0,985367",21547711154.00,144090,"21232400173,87"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,17.06.2026,"0,573697",2105844469.00,15036,"1208116801,46"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,17.06.2026,"8,965779",11331046.00,2446,"101591653,78"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,17.06.2026,"10,133592",21370610.00,15,"216561052,11"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),17.06.2026,"39,376037",3489298.00,2530,"137394727,69"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,17.06.2026,"66,731105",474907.00,99,"31691068,81"
