Dışa Aktarım Tarihi:,24.06.2026 10:48:57
Toplam Kayıt Sayısı:,6067

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,22.06.2026,"3,322878",842307862.00,4696,"2798886394,19"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,22.06.2026,"12,082994",1759411.00,177,"21258952,50"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.06.2026,"63,623116",4022989.00,2161,"255955097,44"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,22.06.2026,"84,734982",134143236.00,184,"11366624665,25"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),22.06.2026,"0,85873",1337341991.00,3,"1148415578,44"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,22.06.2026,"0,098791",580059894.00,36,"57304986,20"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,22.06.2026,"3,031567",111053950.00,175,"336667526,82"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,22.06.2026,"3,25195",2478714059.00,44,"8060653437,28"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,22.06.2026,"64,142274",2090562.00,14,"134093400,16"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,22.06.2026,"3,74028",429446849.00,3648,"1606251602,19"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.06.2026,"3,546221",6016372.00,156,"21335385,49"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,22.06.2026,"55,266166",1302575.00,97,"71988326,59"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.06.2026,"5,889468",735626916.00,45,"4332451215,79"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),22.06.2026,"172,26559",14058631.00,97,"2421818357,41"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),22.06.2026,"46,665071",4125264.00,1423,"192505739,26"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,22.06.2026,"5,944546",56629029.97,1494,"336633861,40"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,22.06.2026,"12,093793",51336945.00,16,"620858372,33"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,22.06.2026,"54,62874",25302574.00,148,"1382247744,65"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,22.06.2026,"0,853626",996085852.00,26154,"850284571,50"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.06.2026,"1,462155",3116059052.00,21614,"4556162291,15"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,22.06.2026,"110,254517",611093.28,1451,"67375794,48"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,22.06.2026,"0,152876",7700592222.00,33963,"1177232758,98"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),22.06.2026,"2,0179",6536170.00,421,"13189338,09"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,22.06.2026,"1,187776",4282448238.00,45586,"5086587619,21"
AFO,AK PORTFÖY ALTIN FONU,22.06.2026,"1,253383",15886381366.00,84175,"19911721027,51"
